test		G I A C G S C T C R T H P C I C R G P G C G D I R K C M W M R R K K V C L R L C R H S E C G R K I G V G A C N L R C G R R E F W R
test		K I V D F N Q I A A A
test		I Q A E N F F K T L M P S F F S D V G I G D A V G Y V G A T G F L V F
test		V F N T H T I P P A G I G D V G S Q V N N Q V D L I N S S G F
test		W K R L N Q T T T L D L D I D L E E I R I E R R A E L A E E A K F E L H H E E A Y K R K L H Y H
test		S F Q K A Y Y N T T S
test		I Q K S V V F F
test		I P A M R R R C R L G R R L T P S M I
test		I S G I N A V I Q A Q V N E I D L N E L I D L E H L K E Q K E M E E L R Y E E Q Y I I G T L L
test		V V N Q I I N A K E A E A K E L N K E S A I D R L
test		G S G L K Y A H A A E H L R L R L F Y
test		F R L G A I A C V T T I G G D I L R G R G G A A N P Y I G Y Y V
test		C S T A P Q C S C G C T G C T T C T T S P V C C T G K K T T T
test		I S Q V F I N T T I A R L G K N L D L N E Y Y I D R L
test		A F N L A V V N K A E I D L Q K E I D H L H K E E R R A H E E A R E L D L H E Y Y E L F Y E K
test		L P T S T G F R A L S L G D V S I G K I M G A S R G I C R K C R R S C E R Y I R R L G S C A R T R Y T G H C R A P R K P C R R C G R R G V S N S F R L G R R D W F G G H K C R Y R
test		V P I Q T T E L A K K L E E A E L R E L N E V A K L N E S L S L
test		Y N T T F K R A A W Y Y
test		P V I A N K T L I D R L
test		V D L G E I R R A V N
test		D L D K F
test		K F G G G L Y C G T F A A T K A V H R G R I E G A I C G S I C R
test		V Y N Q A I D L Q K E L D I N K L E A E L L D E L L K E E L V K E L E E R L L K E L K E E L D R R K E L I D E L D E L F E E V E L G E L K W Q Y I K E E R Q R
test		Y S G E A A A A Q V V L L S N T F N K F T F G S G V G K Y P D G G G R L G G R Y P C Y R K P P G D G G D S Y G R D S C C R P R R R K R F G G K G D C S F P R G R C R V P S P G R R
test		P A L S V F P V N W F C G R I G G I G Y G I G I N A A A A H V V I S N N M V Y H
test		K A A S C L K I I N K A K A E A D V F Y D Q S L A F
test		A E A K R V I N E L I D L H E L E A A E L A E S R S R L Q Q V A L L D V L H D L R Y
test		S S E T A M S F F C L I G G T S C I G I T Y G V C P L G A A I I A K N A S A K A
test		Q A I Q Y
test		S G K F E I M R L G I I S S G G I S A L I S S L F A K
test		I S G I N I A L V V A A E M M M F
test		S L N C T T Y C T R T G S G G R A K C H F E K Y F Q
test		I S G I N A V V N I I Q K E I D R L
test		D S N I Q K
test		G V L N Q L N Q I Y G K N F L L I S A E F I L G Y E L A S L A E L K E S V E V K E L F E R V H E I L T T
test		D I S D A K L N T V V N A L N E L Y Y E Q Y Y N W
test		V L N E I N Q L V A K
test		L K T S P F K F S T L S L I D V N A A V N A A T R A T M S
test		N H T T L V N Q I S Y G I N E S L S A I Q E L M K E K Y V N K I D V D L N E V E R F
test		D L N E F K T T V L N Q I S G I K E Q I S T L T T T L T T R A L K E S A K M L Q E Q A L
test		D K L N Q T T L D L D L G E M L S V N A V V A I N L I D R L I R
test		V V G N Q L C C R Y H E F A S G E G T D C S G T C R R R G C T C G G C P R C V T C R R R P R R
test		S C G S C E G K K K L Y K H C T F Q F G G I F G V D A D D C D V D W Y Q L D D D E A K A S K F R K S T K R D K Y F K G D D A R D V D D L L K K H Y Y D D Y Y L D H R G D S K Q K Q K F D R F G D S F D R L K Q D K F Y Q D S Y Y F H Q Q T L L D
test		T T L T T L T T G A A L K T A V H A I N W N G A T D
test		I L N E V A I N E L T L Q Y E M M M A F G W F Y W W Y G G G D D F R S Y
test		A W F K P F T K T P G R G V G D G D D N D G D V I G D I S G I N A S V V I D I Q E E R M L
test		L N E S L K K E V E K E E L E E E E E Y E Q E E E L K K K N T H Y T T S L E T L A T S T S A D
test		I P R L A W D K F P T R A L A K F I L N G F H V M F S K V G D A E W
test		D F G S T F E D R L G I S A G G S I R C E P S G G S C G I C I W T G R G Y I G T G G G D M I A T T P D R G F R Q G R E F R R K L F G K Y F T I G T P V C A Y Q C S C G C K K K C S Q L S G L I G L G R I G A L
test		I D L G K L Y E I S A V A R N V I R A E M L I A K G A F H N K L
test		Y Y T Y T R F K C S E Q K G S I F I I S A V
test		I E L E Q I A R K L N E V A L N K S S L I D L Q T L T
test		A E S Q L T
test		L N Q E Q A L N H T L D I L N K T L T T L T T S T L L K R S L N H S L E D L E L Q K L T Y E L
test		R V N A F C R R R L Y D G F G A C C T T R G S R K V D R G S G Q V G D N S F R E G D V P D V D C N F K R N F C R R V K G A E L C P C K T G R C R V R P R E S C S C R C R F C G R H R R K V D S C C R R R C S R R C R G R R C H R R R R P V R P F
test		S Q V I N K T T L D I D R L N E V A A K E M M N F D L F D R W G E R G K A G T I S G G I D L T S D V L Q E Y E I D R Y I D L H E L
test		I T T T T L Y P A L Y
test		G D F G L N C L S G A I I A A K
test		V F K G N W Q C Q D E R R R F G L F G G K A T F T H S G K I V G A S K A A I S L N H V V K I N A S V V N E I N E S A A I N M N S L F K N Q S V A D L Q E L S L E E L G E L
test		I S T G I N A N A V M L E T Q L H E L V H R H H R A L A G F N G G G G F R G S M G S G S C K G T N S C H R P R T R F C K Y E
test		D D L G I N A A V V N A Q K I Q K E I D R L N E V A K E N L E L K E S L I H H E L K K E
test		Y F P T C T
test		S P P E C R K F K T S F G F G D D V D S A D G G G N C G S D G L G I I S S A
test		F K F Y Y I G N Q F L G G I N F V S
test		T F G V G I G I A G I P T S C F C R G I L G S C I G G Y C R G G I R N R V S C N P S P F I R R R L R R R F Y
test		N A Q S A I N A N T L L D R L Q E S R L V K E L Q E V V N A N N L S L I T
test		V V K Q Q I N A E E I L D R L L H E E A E E M G E Y R L E S H Y F R R Y S N M E E D G G E F D R R Y P R K L T G E D R R L F D Y P K V F F D K L F
test		T R K F G S S G I S G V I G S L G G S L G K A L V A G S I N V V Q A N S F I
test		C T Q V L N C G T C S F L F C N T P G T C Y G L G T I G K F I G S A A A S V E V K
test		I E L A W T L M
test		L P I A G F T A F M K K
test		I D V L N Y S V I Y K E I I R R L
test		E S K F Y
test		L L D L F Y K R N V E V E A R R G N Y L R F K I T S G V D I L G T G G S A F N H A G H V G S G C G A S I R
test		G L I P A G C A F L P C T R P F C R C K
test		V P V N C T F F A
test		K E A K N F A K E L D L D E S L D Y E F Y E N E V A K N T T L D L D R L G D S G D A Q N D L D V D L Q E L D K L I E K L D Y E L I D L Q E L A K Y Y E
test		D L G Y N E Y S L N C S V F K
test		L D L D I A K E E A A A K N N E M V A K E M R R S M D L P G S S C P R V C G K Q Q T C F G I G G D F R F R R K A C M G G Q D D K I N C R R F R P G T I G R F A K A R C P E G N E D A T F L K G R G V D D Y D F G H W R P K E R F S H P F R A I
test		D L E Q E I L N N T K T T N A K L L N E S L L D R L W E
test		V I N S V A I N E Q I D L G K L N E M L S L N E S L L D R L Q
test		T A S S G L S F Q A K S A V V K V V F K A V
test		L T Q E M K N E A K K F N H T T P D A L Q D L G I S L G I S L G S A I S L S T T L G A K Q L Q E Q L I D L L E L Q E V D K
test		G S I G L A W I S V F V L
test		T S L P R S F F L E E A A V V V D A A V L F G D Y R W A S G L S E L H F K K A L D S R I L E E E V R A E E E R E E R E E Y I E E L R L I E I K G E E A I G D I R Y
test		N D S Q L D L N E Q V A K Q L N E N L K K E A K I
test		I P A K T T T T A L L D V K E V I D R L
test		T S A L L G C S W V C N I Y K R G E V K K Q I K Q K A I D L L K E
test		I N A S V V N N I Q K E L N E I D L L
test		E K A I I N T T L L D L
test		A I A W W
test		F K C G C S K G D D G D I H G L I M L I
test		Q D L D L D L E E A K E A E K N E V A K L D E L D R L F L E E S E L L R R E S L Q E D L E K S Q E E L F E E L S L E E L E E L H E L R Y Y
test		L D I N A M L S V N Q V I N E I R L L R E Y E E M H A H E R
test		A A L S Q C
